source,target,time(s),distance(km)
1,2,5445.753,157.395
1,3,2520.509,69.909
1,4,2222.561,51.878
1,5,4433.356,132.925
1,6,7157.786,217.877
1,7,3094.422,83.677
1,8,4397.53,103.062
1,9,6741.964,199.929
1,10,3012.385,90.784
1,11,6623.246,193.897
1,12,4737.727,142.558
1,13,7988.364,219.506
1,14,7711.795,227.438
1,15,5980.039,160.273
1,16,6494.96,179.024
1,17,2280.653,56.266
1,18,1388.449,34.718
1,19,1934.163,43.808
20,21,6806.511,203.93
20,22,2247.487,53.248
20,23,6838.835,195.262
20,24,3413.299,90.445
20,25,956.657,16.147
20,26,6685.209,151.619
20,27,7792.948,232.426
20,28,7357.479,217.326
20,29,7791.874,228.296
20,30,7715.72,229.282
31,32,2709.849,58.234
31,33,5287.56,143.057
31,34,2512.576,50.689
31,35,4158.564,113.616
31,36,2948.616,56.737
31,37,2671.703,52.238
31,38,5855.677,164.268
31,39,3763.312,98.08
31,40,2160.221,50.397
31,41,3657.116,77.724
31,42,4057.591,83.819
31,43,3995.19,93.858
31,44,4242.513,87.214
31,45,4738.259,132.164
46,2,6908.07,187.121
46,3,2967.173,78.262
46,4,3748.847,83.007
46,5,5786.74,158.897
46,6,7461.266,219.538
46,7,3202.491,63.104
46,8,5606.162,128.361
46,9,7045.444,201.59
46,10,4807.645,135.979
46,11,6926.725,195.558
46,12,6200.044,172.285
46,15,5113.901,124.787
46,17,2138.33,44.142
46,18,3152.064,80.307
46,19,3438.25,81.83
47,48,3193.176,85.299
47,49,7373.292,191.613
47,50,4204.452,96.843
47,51,4651.343,125.332
47,52,4588.445,125.846
47,53,4048.578,102.126
47,54,3502.948,91.758
47,55,7454.943,201.096
47,56,7676.671,203.382
47,997,6150.937,169.978
47,998,5795.506,128.923
47,939,4816.365,136.968
47,940,4200.419,96.815
47,941,4442.771,112.478
47,942,5425.289,143.518
47,943,3717.403,108.009
47,999,5286.142,134.942
57,48,4744.217,110.377
57,50,6180.863,151.828
57,51,5442.464,149.48
57,52,5364.535,150.515
57,53,5321.549,140.211
57,54,4733.486,110.805
57,936,7293.016,175.012
57,937,7543.873,186.102
57,871,7698.151,231.495
57,938,5965.022,144.327
57,997,4508.321,116.165
57,998,3325.427,77.396
57,939,4853.728,111.764
57,940,6176.83,151.8
57,941,4469.349,101.809
57,942,6949.5,163.45
57,943,5648.749,137.979
57,999,5576.734,149.054
58,59,7918.045,182.522
58,23,3162.285,74.903
58,60,6479.481,173.609
58,61,2115.319,45.103
58,873,7314.262,208.273
62,63,1821.13,39.247
64,65,6608.385,147.834
64,66,7783.816,182.045
64,67,7744.243,205.035
64,68,7634.296,174.953
64,69,5593.774,158.677
64,70,7518.52,198.143
64,32,5021.26,133.418
64,71,7520.436,193.705
64,72,7712.483,215.964
64,33,1349.71,29.032
64,34,4869.034,118.063
64,35,714.467,16.482
64,36,5305.074,124.112
64,37,4818.946,114.259
64,39,2112.674,49.258
64,40,4471.631,125.581
64,41,5438.934,134.468
64,42,5895.809,140.564
64,73,7201.367,192.785
64,43,2166.801,43.454
64,44,6080.733,143.958
64,74,5642.155,170.126
64,45,1373.411,28.47
64,75,6639.847,173.15
64,76,7578.609,173.047
77,65,7178.83,165.657
77,66,7059.195,158.055
77,67,7019.622,181.046
77,69,4869.153,134.688
77,32,5996.432,176.814
77,78,7504.087,157.176
77,33,1920.154,46.856
77,34,5844.207,161.459
77,35,1445.065,39.417
77,36,6280.247,167.507
77,37,5794.119,157.654
77,39,2843.272,72.193
77,40,5446.802,168.977
77,41,6414.107,177.863
77,42,6870.983,183.959
77,73,7771.81,210.608
77,43,2897.398,66.389
77,44,7055.907,187.353
77,74,4917.535,146.137
77,45,2214.328,61.124
77,75,7210.29,190.974
79,80,7397.195,184.651
79,873,2391.081,59.379
79,893,5108.494,103.881
79,923,4245.194,89.729
79,924,5347.377,151.268
79,894,7162.289,204.404
79,952,6597.192,159.285
79,947,5110.212,138.052
81,82,7203.11,213.576
81,83,5862.122,143.179
81,84,7571.546,208.874
81,85,6840.897,176.427
81,86,4396.373,126.404
81,2,7801.99,214.157
81,87,7677.148,214.362
81,88,6974.528,176.07
81,3,6964.096,218.579
81,89,2721.968,50.716
81,5,7690.472,235.768
81,6,2920.119,78.775
81,7,6756.967,207.066
81,8,7639.339,231.11
81,9,4067.052,117.067
81,90,3405.972,93.479
81,91,7801.607,232.394
81,11,4987.841,138.061
81,92,6017.858,168.549
81,93,4011.822,104.121
94,2,5183.708,150.589
94,3,2035.713,58.233
94,4,1960.516,45.072
94,5,4171.31,126.119
94,6,7006.772,216.415
94,7,2943.407,82.215
94,8,4135.484,96.256
94,9,6590.951,198.467
94,10,2876.32,87.791
94,11,6472.232,192.435
94,92,7993.464,248.168
94,12,4475.68,135.753
94,13,7726.317,212.701
94,14,7937.215,239.82
94,15,5829.025,158.811
94,16,6327.251,176.425
94,17,2571.041,71.051
94,95,7861.004,222.847
