id,latitude,longitude,type
1,39.0229714,-94.7145415,city
2,38.312105,-95.962768,recarea
3,38.92333,-95.33,recarea
4,38.654905,-94.900047,recarea
5,38.514529,-95.704914,recarea
6,39.08333,-96.895,recarea
7,39.118462,-95.411396,recarea
8,38.65167,-95.55667,recarea
9,39.255872,-96.589657,recarea
10,38.256722,-94.656428,recarea
11,38.679139,-96.505389,recarea
12,38.242782,-95.753884,recarea
13,37.73894,-95.932257,recarea
14,38.912893,-92.274144,recarea
15,40.083301,-95.25,recarea
16,38.2664,-93.398065,recarea
17,39.399192,-94.55706,recarea
18,38.92667,-94.46833,recarea
19,39.016596,-94.33833,recarea
20,41.6274511,-93.7380243,city
21,41.54825,-96.028144,recarea
22,41.56669998,-93.25830078,recarea
23,41.7238,-91.522,recarea
24,41.3708,-92.9794,recarea
25,41.7036,-93.6811,recarea
26,40.828265,-92.877657,recarea
27,41.173834,-96.151202,recarea
28,41.339006,-96.056974,recarea
29,41.219838,-96.160386,recarea
30,41.464724,-95.977012,recarea
31,40.4233142,-104.7091322,city
32,40.51955,-105.16841,recarea
33,39.559653,-105.058974,recarea
34,40.37105,-105.23602,recarea
35,39.649023,-104.859446,recarea
36,40.36377,-105.28245,recarea
37,40.356125,-105.22091,recarea
38,41.308539857,-105.629614498,recarea
39,39.83974,-105.10606,recarea
40,40.559131,-105.086411,recarea
41,40.37578,-105.50896,recarea
42,40.34574,-105.53641,recarea
43,39.8345,-104.847,recarea
44,40.32811,-105.5764,recarea
45,39.653304,-105.128738,recarea
46,39.3113257,-94.922759,city
47,44.0234387,-92.4630182,city
48,44.05099869,-91.63629913,recarea
49,43.213358,-91.09397,recarea
50,44.60948,-92.611802,recarea
51,44.914452,-93.203902,recarea
52,44.85983,-93.216321,recarea
53,44.759116,-92.869017,recarea
54,44.089778,-91.667768,recarea
55,43.283732,-94.110516,recarea
56,43.26670074,-94.11669922,recarea
57,44.811349,-91.4984941,city
58,41.4246132,-91.0436508,city
59,42.785,-91.095,recarea
60,42.542016,-90.634298,recarea
61,41.18030167,-91.30000305,recarea
62,38.0872306,-102.620749,city
63,38.068194,-102.937314,recarea
64,39.579155,-104.8769227,city
65,40.000546,-105.834092,recarea
66,38.62438,-105.22499,recarea
67,38.415119,-105.585288,recarea
68,40.14296,-105.89066,recarea
69,38.44606,-105.19255,recarea
70,39.225377,-106.390222,recarea
71,40.05714,-106.38788,recarea
72,39.71183,-106.69583,recarea
73,39.26133,-106.34791,recarea
74,38.24762,-104.72315,recarea
75,39.89762,-106.31001,recarea
76,40.10715,-106.02378,recarea
77,39.3722552,-104.858682,city
78,38.56682,-105.27884,recarea
79,40.4797828,-88.9939147,city
80,39.939967,-90.530296,recarea
81,38.8402805,-97.6114237,city
82,38.812407,-99.730884,recarea
83,37.742939,-97.772006,recarea
84,39.65525,-99.1154,recarea
85,39.90314,-98.04306,recarea
86,39.51589,-98.3392,recarea
87,39.669137,-99.1968,recarea
88,38.1579368,-98.4995991,recarea
89,38.62167,-97.97,recarea
90,38.967662,-98.498476,recarea
91,39.40836,-99.45445,recarea
92,37.845788,-96.823987,recarea
93,38.36833,-97.08333,recarea
94,38.9697458,-94.7845837,city
95,37.691975,-93.763308,recarea
96,39.8695516,-104.985181,city
97,40.001957,-106.484811,recarea
98,40.2168,-105.86078,recarea
99,42.0329753,-91.5987335,city
100,43.031723,-91.174686,recarea
101,39.9356016,-91.4098727,city
102,39.261158,-90.803798,recarea
103,39.525364,-91.643673,recarea
104,39.004035,-90.69182,recarea
105,39.751208,-92.514789,recarea
106,40.036685,-91.472927,recarea
107,42.0267567,-93.6170448,city
108,48.1465457,-103.621814,city
109,46.87235,-102.83216,recarea
110,48.641682,-102.403361,recarea
111,47.345231,-102.654425,recarea
112,48.881067,-103.310295,recarea
113,48.64171,-102.403428,recarea
114,36.0625843,-94.1574328,city
115,36.595826,-93.311034,recarea
116,43.1524574,-93.2017941,city
117,36.7421089,-95.9528877,city
118,37.270174,-95.471674,recarea
119,37.27726,-95.78665,recarea
120,37.64667,-96.07,recarea
121,44.290635,-105.501876,city
122,44.70943,-103.71311,recarea
123,44.06762,-103.48332,recarea
124,44.3725,-103.47297,recarea
125,39.5466381,-107.3246941,city
126,39.033,-108.53,recarea
127,39.178,-108.826,recarea
128,39.18943,-109.00048,recarea
129,39.576,-107.601,recarea
